filename,level,part_type,item_number,mfg_part_number,item_description,type,conductor,number_pairs,insulation,jacket,shielding,wire_gauge,diameter,putup,color,stranding,kevlar_core,pitch
W60-0008-002_B_MfgBOMReport.xls,0,Cable and Wire,W60-0008-002,B        C02827,WIRE TFE 16GA RED 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,16,,1000,Red,19/27,,
W60-0008-010_B_MfgBOMReport.xls,0,Cable and Wire,W60-0008-010,B        C02827,WIRE TFE 16GA Black 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,16,,1000,Black,19/29,,
W60-0009-001_B_MfgBOMReport.xls,0,Cable and Wire,W60-0009-001,B,WIRE TFE 14 AWG BRN 200 DEG 600V,Hook up,1,,TFE - Teflon (600V),,A,14,,1000,Brown,19/27,,
W60-0009-002_B_MfgBOMReport.xls,0,Cable and Wire,W60-0009-002,B        C05559,WIRE TFE 14 AWG RED 200 DEG 600V,Hook up,1,,TFE - Teflon (600V),,A,14,,1000,Red,19/27,,
W60-0009-003_B_MfgBOMReport.xls,0,Cable and Wire,W60-0009-003,B        C05559,WIRE TFE 14 AWG Orange 200 DEG 600V,Hook up,1,,TFE - Teflon (600V),,A,14,,1000,Orange,19/27,,
W60-0009-004_B_MfgBOMReport.xls,0,Cable and Wire,W60-0009-004,B        C05559,WIRE TFE 14 AWG YEL 200 DEG 600V,Hook up,1,,TFE - Teflon (600V),,A,14,,1000,Yellow,19/27,,
W60-0009-005_B_MfgBOMReport.xls,0,Cable and Wire,W60-0009-005,B        C05559,WIRE TFE 14 AWG Green 200 DEG 600V,Hook up,1,,TFE - Teflon (600V),,A,14,,1000,Green,19/27,,
W60-0009-006_B_MfgBOMReport.xls,0,Cable and Wire,W60-0009-006,B,WIRE TFE 14 AWG Blue 200 DEG 600V,Hook up,1,,TFE - Teflon (600V),,A,14,,1000,Blue,19/27,,
W60-0009-007_B_MfgBOMReport.xls,0,Cable and Wire,W60-0009-007,B        C05559,WIRE TFE 14 AWG VIO 200 DEG 600V,Hook up,1,,TFE - Teflon (600V),,A,14,,1000,Violet,19/27,,
W60-0009-008_B_MfgBOMReport.xls,0,Cable and Wire,W60-0009-008,B        C05559,WIRE TFE 14 AWG GRY 200 DEG 600V,Hook up,1,,TFE - Teflon (600V),,A,14,,1000,Grey,19/27,,
W60-0009-009_B_MfgBOMReport.xls,0,Cable and Wire,W60-0009-009,B        C05559,WIRE TFE 14 AWG White 200 DEG 600V,Hook up,1,,TFE - Teflon (600V),,A,14,,1000,White,19/27,,
W60-0009-010_B_MfgBOMReport.xls,0,Cable and Wire,W60-0009-010,B        C05559,WIRE TFE 14 AWG Black 200 DEG 600V,Hook up,1,,TFE - Teflon (600V),,A,14,,1000,Black,19/27,,
W60-0010-001_B_MfgBOMReport.xls,0,Cable and Wire,W60-0010-001,B        C04172,WIRE TFE 12GA BRN 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,12,,1000,Brown,19/25,,
W60-0010-002_B_MfgBOMReport.xls,0,Cable and Wire,W60-0010-002,B        C04172,WIRE TFE 12GA RED 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,12,,1000,Red,19/25,,
W60-0010-003_B_MfgBOMReport.xls,0,Cable and Wire,W60-0010-003,B        C04172,WIRE TFE 12GA Orange 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,12,,1000,Orange,19/25,,
W60-0010-005_B_MfgBOMReport.xls,0,Cable and Wire,W60-0010-005,B        C04172,WIRE TFE 12GA Green 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,12,,1000,Green,19/25,,
W60-0010-010_B_MfgBOMReport.xls,0,Cable and Wire,W60-0010-010,B,WIRE TFE 12GA Black 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,12,,1000,Black,19/25,,
W60-0011-010_A_MfgBOMReport.xls,0,Cable and Wire,W60-0011-010,A        C05350,WIRE TFE 10GA Black  200 DEG 600V,Hook up,1,,TFE - Teflon (600V),,A,10,,1000,Black,19/25,,
W65-0008-002_C_MfgBOMReport.xls,0,Cable and Wire,W65-0008-002,C        C38330,WIRE TFE 16GA RED 200DEG 1000V,Hook up,1,,PTFE,,A,16,,1000,Red,19,,
W65-0008-004_C_MfgBOMReport.xls,0,Cable and Wire,W65-0008-004,C        C38330,WIRE TFE 16GA YEL 200DEG 1000V,Hook up,1,,PTFE,,A,16,,1000,Yellow,19,,
W65-0008-005_C_MfgBOMReport.xls,0,Cable and Wire,W65-0008-005,C        C38330,WIRE TFE 16GA Green 200DEG 1000V,Hook up,1,,PTFE,,A,16,,1000,Green,19,,
W65-0008-006_C_MfgBOMReport.xls,0,Cable and Wire,W65-0008-006,C        C38330,WIRE TFE 16GA Blue 200DEG 1000V,Hook up,1,,PTFE,,A,16,,1000,Blue,19,,
W65-0008-009_C_MfgBOMReport.xls,0,Cable and Wire,W65-0008-009,C        C38330,WIRE TFE 16GA White 200DEG 1000V,Hook up,1,,PTFE,,A,16,,1000,White,19,,
W65-0008-010_C_MfgBOMReport.xls,0,Cable and Wire,W65-0008-010,C        C38330,WIRE TFE 16GA Black 200DEG 1000V,Hook up,1,,PTFE,,A,16,,1000,Black,19,,
W65-0010-002_A_MfgBOMReport.xls,0,Cable and Wire,W65-0010-002,A        C13273,WIRE TFE 12GA RED 200 DEG,Hook up,1,,TFE - Teflon (300V),,A,12,,1000,Red,19/25,,
W65-0010-003_A_MfgBOMReport.xls,0,Cable and Wire,W65-0010-003,A        C13273,WIRE TFE 12GA Orange 200 DEG,Hook up,1,,TFE - Teflon (300V),,A,12,,1000,Orange,19/25,,
W65-0010-009_A_MfgBOMReport.xls,0,Cable and Wire,W65-0010-009,A        C13273,WIRE TFE 12GA White 200 DEG,Hook up,1,,TFE - Teflon (300V),,A,12,,1000,White,19/25,,
W65-0010-010_A_MfgBOMReport.xls,0,Cable and Wire,W65-0010-010,A        C13273,WIRE TFE 12GA Black 200 DEG,Hook up,1,,TFE - Teflon (300V),,A,12,,1000,Black,19/25,,
W65-0011-002_A_MfgBOMReport.xls,0,Cable and Wire,W65-0011-002,A        C15743,WIRE TFE 10GA RED 200 DEG 1000V,,,,,,A,,,,,,,
W75-0016-072_A_MfgBOMReport.xls,0,Cable and Wire,W75-0016-072,A        C37873,"CABLE SHLD DB9 FEM - BlueNT CUT 72""",,,,,,A,,,,,,,
W75-0017-005_-_MfgBOMReport.xls,0,Cable and Wire,W75-0017-005,0,"CABLE ASSY 2X10 POSN 2MM 3.2"" M/F",,,,,,A,,,,,,,
W75-0017-022_-_MfgBOMReport.xls,0,Cable and Wire,W75-0017-022,0,"CABLE ASSY 2X10POSN 2MM 3.2"" M/F",,,,,,A,,,,,,,
W75-0020-006_-_MfgBOMReport.xls,0,Cable and Wire,W75-0020-006,0,"CBL ASSY 2MM 2X20 POSN 15.50"" DBL FEM IDC PLUGS",,,,,,A,,,,,,,
W75-0020-012_-_MfgBOMReport.xls,0,Cable and Wire,W75-0020-012,0,"CBL ASSY 2MM 2X15 POSN 06.00"" DBL FEM IDC P",,,,,,A,,,,,,,
W75-0020-013_-_MfgBOMReport.xls,0,Cable and Wire,W75-0020-013,0,"CBL ASSY 2MM 2X10 POSN 08.00"" DBL FEM IDC P",,,,,,A,,,,,,,
W75-0020-014_-_MfgBOMReport.xls,0,Cable and Wire,W75-0020-014,0,"CBL ASSY 2MM 2X10 POSN 07.00"" DBL FEM IDC P",,,,,,A,,,,,,,
W75-0020-022_-_MfgBOMReport.xls,0,Cable and Wire,W75-0020-022,0,"CBL ASSY 2MM 2X10 POSN 03.00"" DBL FEM IDC P",,,,,,A,,,,,,,
W75-0020-023_-_MfgBOMReport.xls,0,Cable and Wire,W75-0020-023,0,"CBL ASSY 2MM 2X15 POSN 03.00"" DBL FEM IDC P",,,,,,A,,,,,,,
W75-0020-035_-_MfgBOMReport.xls,0,Cable and Wire,W75-0020-035,0,"CBL ASSY 2MM 2X22 POSN 18.25"" DBL FEM IDC PLUGS",,,,,,A,,,,,,,
W75-0020-202_-_MfgBOMReport.xls,0,Cable and Wire,W75-0020-202,0,"CBL ASSY 2MM 2X10 POSN 3.25"" FEM IDC PLUGS REV",,,,,,A,,,,,,,
W75-0020-204_-_MfgBOMReport.xls,0,Cable and Wire,W75-0020-204,0,"CBL ASSY 2MM 2X20 POSN 15.50"" RVS FEM IDC PLUGS",,,,,,A,,,,,,,
W75-0020-205_-_MfgBOMReport.xls,0,Cable and Wire,W75-0020-205,0,"CBL ASSY 2MM 2X10 POSN 4.00"" RVS FEM IDC PL",,,,,,A,,,,,,,
W75-0020-206_-_MfgBOMReport.xls,0,Cable and Wire,W75-0020-206,0,"CBL ASSY 2MM 2X10 POSN 3.50"" RVS FEM IDC PL",,,,,,A,,,,,,,
W75-0020-207_-_MfgBOMReport.xls,0,Cable and Wire,W75-0020-207,0,"CBL ASSY 2MM 2X10 POSN 02.50"" FEM IDC PLUGS REV",,,,,,A,,,,,,,
W75-0020-301_-_MfgBOMReport.xls,0,Cable and Wire,W75-0020-301,0,"CBL ASSY 2MM 2X22 POSN 12.50"" RVS FEM IDC PLUGS",,,,,,A,,,,,,,
W75-0020-303_1_MfgBOMReport.xls,0,Cable and Wire,W75-0020-303,1        C42426,"CBL ASSY 2MM 2X22 POSN 18.00"" RVS FEM IDC PLUGS",,,,,,A,,,,,,,
W75-0020-304_1_MfgBOMReport.xls,0,Cable and Wire,W75-0020-304,1        C51227,"CBL ASSY 2MM 2X20 POSN 17.00"" RVS FEM IDC PLUGS",,,,,,A,,,,,,,
W75-0020-901_-_MfgBOMReport.xls,0,Cable and Wire,W75-0020-901,0,"CBL ASSY 2MM 2X20 POSN 15.50"" DBL FEM IDC PLUGS",,,,,,A,,,,,,,
W75-0020-902_-_MfgBOMReport.xls,0,Cable and Wire,W75-0020-902,0,"CBL ASSY 2MM 2X10 POSN 3.25"" FEM IDC PLUGS ",,,,,,A,,,,,,,
W75-0020-903_-_MfgBOMReport.xls,0,Cable and Wire,W75-0020-903,0,"CBL ASSY 2MM 2X22 POSN 12.50"" RVS FEM IDC PLUGS",,,,,,A,,,,,,,
W75-0022-901_-_MfgBOMReport.xls,0,Cable and Wire,W75-0022-901,0,CABLE ASSY DB9 M-F 6FT SHIELD 28 AWG,,,,,,A,,,,,,,
W80-0007-000_C_MfgBOMReport.xls,0,Cable and Wire,W80-0007-000,C        C24424,CABLE 8 AWG (133/29) 2 COND (BRN/RED) PVC,,,,,,A,,,,,,,
W80-0008-003_D_MfgBOMReport.xls,0,Cable and Wire,W80-0008-003,D        C20168,CORD 16 AWG (26/30) 3 COND Black NEOPRENE,,,,,,A,,,,,,,
W80-0023-001_C_MfgBOMReport.xls,0,Cable and Wire,W80-0023-001,C        C22630,CORD PWR CEE 7/7 - UNTERM 18 AWG 8.2' Black,,,,,,A,,,,,,,
W80-0023-201_A_MfgBOMReport.xls,0,Cable and Wire,W80-0023-201,A        C21132,CORD PWR CEE 7/7 - IEC C5 2.5A/230V 1.8M,,,,,,A,,,,,,,
W80-0025-004_-_MfgBOMReport.xls,0,Cable and Wire,W80-0025-004,0,CORD PWR NEMA 5-15P TO IEC C5 10A/125V 6',,,,,,A,,,,,,,
W80-0026-002_A_MfgBOMReport.xls,0,Cable and Wire,W80-0026-002,A        C13320,CORD PWR W/MOLDED UK PLUG 2.5M,,,,,,A,,,,,,,
W80-0038-001_1_MfgBOMReport.xls,0,Cable and Wire,W80-0038-001,1        C66088,CABLE ASSY DUAL PRC-152 18 COND 26 AWG SHLD 2M,,,,,,A,,,,,,,
W80-0038-004_1_MfgBOMReport.xls,0,Cable and Wire,W80-0038-004,1        C66088,CABLE ASSY PRC-152 9 COND 26AWG SHLD 2M,,,,,,A,,,,,,,
W80-0038-005_1_MfgBOMReport.xls,0,Cable and Wire,W80-0038-005,1        C66088,CABLE ASSY 9 COND 24AWG SHLD 1.5 M,,,,,,A,,,,,,,
W85-0002-001_B_MfgBOMReport.xls,0,Cable and Wire,W85-0002-001,B        DL000165,CABLE COAXIAL 25 OHM,,,,,,A,,,,,,,
W90-0012-001_C_MfgBOMReport.xls,0,Cable and Wire,W90-0012-001,C        C42354,"CABLE MICRO COAX .058"" DIA",,,,,,A,,,,,,,
W90-0012-901_-_MfgBOMReport.xls,0,Cable and Wire,W90-0012-901,0,"CABLE ASSY COAX .058"" DIA W/H.FL CONN 5.9L",,,,,,A,,,,,,,
W90-0047-001_-_MfgBOMReport.xls,0,Cable and Wire,W90-0047-001,0,CABLE COAX MINIATURE FLEXIBLE 50 OHM .057 DIA,,,,,,A,,,,,,,
W95-0009-025_A_MfgBOMReport.xls,0,Cable and Wire,W95-0009-025,A        C07032,CABLE PATCH 4 WIRE RJ-11 TO RJ-11 25 FT 28 AWG,,,,,,A,,,,,,,
W95-0009-603_-_MfgBOMReport.xls,0,Cable and Wire,W95-0009-603,0,CABLE RJ-45 PATCH CROSSOVER 3',,,,,,A,,,,,,,
w95-0009-810_-_MfgBOMReport.xls,0,Cable and Wire,W95-0009-810,0,CABLE PATCH SHLD CAT 5E RJ-45-RJ45 10 FT Black,,,,,,A,,,,,,,
W95-0009-901_A_MfgBOMReport.xls,0,Cable and Wire,W95-0009-901,A        C08451,ADAPTER CAT 5E M-F CROSSOVER 7 INCH,,,,,,A,,,,,,,
W95-0011-072_-_MfgBOMReport.xls,0,Cable and Wire,W95-0011-072,0,"CABLE SHLD USB TYPE A PLUG 72""  W/HARRIS LOGO",,,,,,A,,,,,,,
W95-0011-202_-_MfgBOMReport.xls,0,Cable and Wire,W95-0011-202,0,CABLE ASSY SHLD USB 2.0 TYPE A PLUG TO B PLUG 2M,,,,,,A,,,,,,,
W95-0011-203_-_MfgBOMReport.xls,0,Cable and Wire,W95-0011-203,0,CABLE ASSY SHLD USB 2.0 TYPE A PLUG TO B PLUG 3M,,,,,,A,,,,,,,
W95-0011-302_-_MfgBOMReport.xls,0,Cable and Wire,W95-0011-302,0,CBL ASSY SHLD TYPE A PLUG - MINI B PLUG 2M,,,,,,A,,,,,,,
W95-0011-401_A_MfgBOMReport.xls,0,Cable and Wire,W95-0011-401,A        C51388,CBL ASSY LSZH SHLD TYPE A PLUG - MINI B PLUG 2M,,,,,,A,,,,,,,
